chemical formula,crystal system,Structure Type,structure rank,ICSD ref #,space group,avg bond length (Å),polyhedral volume (Å^3),distortion index,quadratic elongation,bond angle variance (deg^2),ECoN,cation,Cation rank,ionic radius,charge,,,
Na0.8Ti4O8-Ti1,monoclinic,NaTi4O8,7,23879,C 2/m,1.9327,9.125,0.05982,1.0421,118.9974,4.2328,Ti,40,0.605,3.8,,,
Na0.8Ti4O8-Ti2,monoclinic,NaTi4O8,7,23879,C 2/m,1.998,9.9822,0.01682,1.0437,146.7809,5.8377,Ti,40,0.605,3.8,,,
Na2Ti3O7-Ti1,monoclinic,Na2Ti3O7,7,15463,P 21/m,2.0102,10.5914,0.0664,1.0213,50.3091,4.7443,Ti,40,0.605,4,,,
Na2Ti3O7-Ti2,monoclinic,Na2Ti3O7,7,15463,P 21/m,1.9542,9.6821,0.06951,1.0289,61.5083,4.385,Ti,40,0.605,4,,,
Na2Ti3O7-Ti3,monoclinic,Na2Ti3O7,7,15463,P 21/m,2.019,10.541,0.06508,1.0325,91.4367,4.8795,Ti,40,0.605,4,,,
Mo9O26-Mo1,monoclinic,Mo9O26,7,24031,P 2/a,1.8447,7.8737,0.07812,1.0511,118.3056,3.7748,Mo,61,0.59,5.78,,,
Mo9O26-Mo2,monoclinic,Mo9O26,7,24031,P 2/a,1.912,8.8802,0.05138,1.0367,108.0608,5.1887,Mo,61,0.59,5.78,,,
Mo9O26-Mo3,monoclinic,Mo9O26,7,24031,P 2/a,2.0088,9.9189,0.05393,1.0629,191.8542,5.1715,Mo,61,0.59,5.78,,,
Mo9O26-Mo4,monoclinic,Mo9O26,7,24031,P 2/a,1.9581,9.4711,0.05537,1.0413,126.6431,5.1661,Mo,61,0.59,5.78,,,
Mo9O26-Mo5,monoclinic,Mo9O26,7,24031,P 2/a,2.007,10.0822,0.05711,1.0501,150.9915,4.3201,Mo,61,0.59,5.78,,,
Mo8O23-Mo1,monoclinic,Mo8O23,7,24032,P 2/a,1.941,9.3743,0.03441,1.0288,91.8051,5.6168,Mo,61,0.59,5.75,,,
Mo8O23-Mo2,monoclinic,Mo8O23,7,24032,P 2/a,1.9432,9.3743,0.03734,1.0315,98.6543,5.4891,Mo,61,0.59,5.75,,,
Mo8O23-Mo3,monoclinic,Mo8O23,7,24032,P 2/a,1.963,9.5924,0.04791,1.0372,116.3481,5.2717,Mo,61,0.59,5.75,,,
Mo8O23-Mo4,monoclinic,Mo8O23,7,24032,P 2/a,1.9826,9.8104,0.0603,1.044,132.7395,4.7734,Mo,61,0.59,5.75,,,
K3Ti8O17-Ti1,monoclinic,,7,18312,C 2/m,2.031,10.7984,0.04721,1.0261,74.4548,5.319,Ti,40,0.605,3.88,,,
K3Ti8O17-Ti2,monoclinic,,7,18312,C 2/m,1.9979,10.0982,0.0853,1.0468,118.5422,3.076,Ti,40,0.605,3.88,,,
K3Ti8O17-Ti3,monoclinic,,7,18312,C 2/m,2.0206,10.6693,0.05377,1.0241,67.6202,5.269,Ti,40,0.605,3.88,,,
K3Ti8O17-Ti4,monoclinic,,7,18312,C 2/m,1.9865,10.0338,0.05213,1.0333,100.7489,4.2688,Ti,40,0.605,3.88,,,
